session_id,onboarding_step,response_time,escalation_flag,error_type,timestamp
1,1,1.2,0,none,2026-02-01
2,2,2.5,1,incomplete,2026-02-01
3,3,1.8,0,none,2026-02-01
4,2,3.1,1,misleading,2026-02-01
5,4,1.1,0,none,2026-02-01
6,2,2.9,1,factual,2026-02-02
7,1,1.0,0,none,2026-02-02
8,3,1.7,0,none,2026-02-02
9,2,3.3,1,hallucination,2026-02-02
10,4,1.4,0,none,2026-02-02
11,1,1.3,0,none,2026-02-03
12,2,2.8,1,incomplete,2026-02-03
13,3,1.6,0,none,2026-02-03
14,2,3.0,1,factual,2026-02-03
15,4,1.2,0,none,2026-02-03
16,1,1.1,0,none,2026-02-04
17,2,2.7,1,misleading,2026-02-04
18,3,1.9,0,none,2026-02-04
19,2,3.4,1,hallucination,2026-02-04
20,4,1.5,0,none,2026-02-04
21,1,1.0,0,none,2026-02-05
22,2,2.6,1,incomplete,2026-02-05
23,3,1.8,0,none,2026-02-05
24,2,3.2,1,factual,2026-02-05
25,4,1.3,0,none,2026-02-05
